10001,2021-03-02,2038-01-19,"[特别追梦者]特别周,[无声无瑕]无声铃鹿,[喜乐无边]东海帝王,[绯红方程式]丸善斯基,[星光跃动]小栗帽,[狂野前线]大树快车,[优雅曲线]目白麦昆,[皇帝]鲁道夫象征,[玫瑰之梦]米浴"
10002,2021-03-02,2038-01-19,"[献上全国第一的演出]特别周,[在耀眼景色的前方]无声铃鹿,[有梦想就要大声说出来！]东海帝王,[不沉舰的进击]黄金船,[伏特加之路]伏特加,[万紫千红中一枝独秀]草上飞,[热情的冠军！]神鹰,[期待已久的计谋]青云天空,[划破天空的闪电少女！]玉藻十字,[全身心的感谢]美妙姿势,[飞奔吧，闪耀吧]艾尼风神,[B·N·Winner！]胜利奖券,[冲向前方7厘米之外]空中神宫,[Run（my）way]黄金城,[好快！好吃！好快！]樱花进王,[一颗安心糖]超级溪流,[这就是我的优俊偶像之道☆]醒目飞鹰,[哪怕还不能独当一面]西野花,[必杀技！双胡萝卜拳！]微光飞驹,[欢迎来到特雷森学园！]骏川手纲"
20001,2021-01-01,2038-01-19,"[特别追梦者]特别周,[无声无瑕]无声铃鹿,[喜乐无边]东海帝王,[绯红方程式]丸善斯基,[星光跃动]小栗帽,[狂野前线]大树快车,[优雅曲线]目白麦昆,[皇帝]鲁道夫象征,[玫瑰之梦]米浴"
20002,2021-01-01,2038-01-19,"[献上全国第一的演出]特别周,[在耀眼景色的前方]无声铃鹿,[有梦想就要大声说出来！]东海帝王,[不沉舰的进击]黄金船,[伏特加之路]伏特加,[万紫千红中一枝独秀]草上飞,[热情的冠军！]神鹰,[期待已久的计谋]青云天空,[划破天空的闪电少女！]玉藻十字,[全身心的感谢]美妙姿势,[飞奔吧，闪耀吧]艾尼风神,[B·N·Winner！]胜利奖券,[冲向前方7厘米之外]空中神宫,[Run（my）way]黄金城,[好快！好吃！好快！]樱花进王,[一颗安心糖]超级溪流,[这就是我的优俊偶像之道☆]醒目飞鹰,[哪怕还不能独当一面]西野花,[必杀技！双胡萝卜拳！]微光飞驹,[欢迎来到特雷森学园！]骏川手纲"
20003,2021-01-01,2038-01-19,"[特别追梦者]特别周,[无声无瑕]无声铃鹿,[喜乐无边]东海帝王,[绯红方程式]丸善斯基,[星光跃动]小栗帽,[狂野前线]大树快车,[优雅曲线]目白麦昆,[皇帝]鲁道夫象征,[玫瑰之梦]米浴"
20004,2021-01-01,2038-01-19,"[献上全国第一的演出]特别周,[在耀眼景色的前方]无声铃鹿,[有梦想就要大声说出来！]东海帝王,[不沉舰的进击]黄金船,[伏特加之路]伏特加,[万紫千红中一枝独秀]草上飞,[热情的冠军！]神鹰,[期待已久的计谋]青云天空,[划破天空的闪电少女！]玉藻十字,[全身心的感谢]美妙姿势,[飞奔吧，闪耀吧]艾尼风神,[B·N·Winner！]胜利奖券,[冲向前方7厘米之外]空中神宫,[Run（my）way]黄金城,[好快！好吃！好快！]樱花进王,[一颗安心糖]超级溪流,[这就是我的优俊偶像之道☆]醒目飞鹰,[哪怕还不能独当一面]西野花,[必杀技！双胡萝卜拳！]微光飞驹,[欢迎来到特雷森学园！]骏川手纲"
20005,2024-05-24,2038-01-19,"[特别追梦者]特别周,[雀跃♪维他命心拍]特别周,[无声无瑕]无声铃鹿,[喜乐无边]东海帝王,[飞跃地平线]东海帝王,[绯红方程式]丸善斯基,[飞跃☆夏夜]丸善斯基,[流星歌剧]富士奇石,[星光跃动]小栗帽,[狂野前线]大树快车,[圣翠治愈师]草上飞,[亚马逊青金石]菱亚马逊,[优雅曲线]目白麦昆,[天际尽头]目白麦昆,[羽蛇武斗家]神鹰,[O sole suo！]好歌剧,[Maverick]成田白仁,[皇帝]鲁道夫象征,[皓月下的神箭手]鲁道夫象征,[橡木王冠]气槽,[超级加急！全彩PP膜特殊加工]爱丽数码,[青云垂钓者]青云天空,[pf.胜利公式]琵琶晨光,[阳光花束]重炮,[Creeping Black]曼城茶座,[MB-19890425]美浦波旁,[Buono☆时尚]菱曙,[玫瑰之梦]米浴,[Make up Vampire！]米浴,[Meisterschaft]荣进闪耀,[闪电少女]真机伶,[粉红公主]川上公主,[真我/1928]黄金城,[秋樱舞娘]黄金城,[雪纺丝带木乃伊]超级溪流,[绝对☆LOVE]醒目飞鹰,[Nevertheless]成"
20006,2024-05-24,2038-01-19,"[献上全国第一的演出]特别周,[在耀眼景色的前方]无声铃鹿,[有梦想就要大声说出来！]东海帝王,[不沉舰的进击]黄金船,[伏特加之路]伏特加,[万紫千红中一枝独秀]草上飞,[热情的冠军！]神鹰,[期待已久的计谋]青云天空,[划破天空的闪电少女！]玉藻十字,[全身心的感谢]美妙姿势,[飞奔吧，闪耀吧]艾尼风神,[B·N·Winner！]胜利奖券,[冲向前方7厘米之外]空中神宫,[Run（my）way]黄金城,[好快！好吃！好快！]樱花进王,[一颗安心糖]超级溪流,[这就是我的优俊偶像之道☆]醒目飞鹰,[哪怕还不能独当一面]西野花,[必杀技！双胡萝卜拳！]微光飞驹,[欢迎来到特雷森学园！]骏川手纲,[“要受人喜爱啊”]小栗帽,[涡轮引擎马力全开！]双涡轮,[尽管笑我傻吧]目白善信,[身后迫近的热浪是动力]北部玄驹,[超越那前方的背影]里见光钻,[由故乡直达的助威！]雪之美人,[心中的烈火无法抑制]八重无敌,["
20007,2024-05-24,2038-01-19,"[特别追梦者]特别周,[雀跃♪维他命心拍]特别周,[无声无瑕]无声铃鹿,[喜乐无边]东海帝王,[飞跃地平线]东海帝王,[绯红方程式]丸善斯基,[飞跃☆夏夜]丸善斯基,[流星歌剧]富士奇石,[星光跃动]小栗帽,[狂野前线]大树快车,[圣翠治愈师]草上飞,[亚马逊青金石]菱亚马逊,[优雅曲线]目白麦昆,[天际尽头]目白麦昆,[羽蛇武斗家]神鹰,[O sole suo！]好歌剧,[Maverick]成田白仁,[皇帝]鲁道夫象征,[皓月下的神箭手]鲁道夫象征,[橡木王冠]气槽,[超级加急！全彩PP膜特殊加工]爱丽数码,[青云垂钓者]青云天空,[pf.胜利公式]琵琶晨光,[阳光花束]重炮,[Creeping Black]曼城茶座,[MB-19890425]美浦波旁,[Buono☆时尚]菱曙,[玫瑰之梦]米浴,[Make up Vampire！]米浴,[Meisterschaft]荣进闪耀,[闪电少女]真机伶,[粉红公主]川上公主,[真我/1928]黄金城,[秋樱舞娘]黄金城,[雪纺丝带木乃伊]超级溪流,[绝对☆LOVE]醒目飞鹰,[Nevertheless]成"
20008,2024-05-24,2038-01-19,"[献上全国第一的演出]特别周,[在耀眼景色的前方]无声铃鹿,[有梦想就要大声说出来！]东海帝王,[不沉舰的进击]黄金船,[伏特加之路]伏特加,[万紫千红中一枝独秀]草上飞,[热情的冠军！]神鹰,[期待已久的计谋]青云天空,[划破天空的闪电少女！]玉藻十字,[全身心的感谢]美妙姿势,[飞奔吧，闪耀吧]艾尼风神,[B·N·Winner！]胜利奖券,[冲向前方7厘米之外]空中神宫,[Run（my）way]黄金城,[好快！好吃！好快！]樱花进王,[一颗安心糖]超级溪流,[这就是我的优俊偶像之道☆]醒目飞鹰,[哪怕还不能独当一面]西野花,[必杀技！双胡萝卜拳！]微光飞驹,[欢迎来到特雷森学园！]骏川手纲,[“要受人喜爱啊”]小栗帽,[涡轮引擎马力全开！]双涡轮,[尽管笑我傻吧]目白善信,[身后迫近的热浪是动力]北部玄驹,[超越那前方的背影]里见光钻,[由故乡直达的助威！]雪之美人,[心中的烈火无法抑制]八重无敌,["
